Problem 1:										
x	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10
0.2	4.13	5.34	5.57	-5.35	5.22	0.2	5.5	0.9	2.87	-3.99
0.36	1.88	2.81	1.47	-0.14	-0.1	7.04	7.42	3.81	2.46	-6.24
0.51	1.4	-2.8	0.77	-4.21	6.99	11.68	1.93	2.97	2.32	3.83
0.65	7.45	16.75	13.39	10.25	7.44	8.29	14.95	10.24	1.8	4.71
0.79	3.09	2.94	10.9	6.82	1.32	3.31	11.56	6.54	7.08	10.68
0.92	12.98	15.11	8.54	16.78	21.57	-0.94	13.9	14.11	7.14	8.01
1.05	20.14	4.18	8.93	10.36	20.6	14.78	19.81	5.78	15.25	21.58
1.17	16.62	17.49	10.59	20.28	18.78	11.26	26.14	21.25	24.63	11.68
1.29	22.02	24.77	11.18	22.47	18.49	20.47	20.19	17.73	4.57	22.07
1.42	26.39	14.57	25.06	16.14	22.92	25.06	23.41	31.48	28.97	20.55
1.54	28.72	29.28	22.63	32.93	22.77	17.22	26.2	27.16	25.97	23.02
1.65	31.06	25.97	21.15	30.72	19.75	31.56	42.49	13.8	24.46	38.15
1.77	42.37	22.94	28.77	31.48	36.47	38.96	31.58	48.77	35.93	21.1
1.88	25.54	24.88	41.8	41.45	32.02	40.3	41.26	38.45	43.16	41.73
2	41.04	29.77	31.61	41.46	35.44	44.32	27.43	45.25	38.7	49.87
										
										
Problem 2:										
t(mins)	x1	x2	x3							
0	0.342	0.352	0.358							
0.332	0.363	0.358	0.365							
1.069	0.367	0.362	0.37							
1.806	0.371	0.366	0.373							
2.542	0.375	0.37	0.376							
3.279	0.379	0.373	0.379							
4.015	0.382	0.377	0.382							
4.751	0.384	0.38	0.384							
5.487	0.387	0.383	0.386							
6.223	0.388	0.384	0.389							
6.959	0.391	0.387	0.39							
7.695	0.394	0.389	0.392							
8.43	0.397	0.391	0.394							
9.165	0.397	0.392	0.394							
9.9	0.397	0.393	0.395							
10.635	0.398	0.395	0.396							
11.371	0.399	0.395	0.396							
12.106	0.399	0.396	0.397							
12.841	0.399	0.396	0.397							
13.649	0.4	0.396	0.397							
14.384	0.4	0.397	0.398							
15.046	0.4	0.397	0.398							
15.78	0.4	0.398	0.399							
16.515	0.4	0.398	0.399							
17.25	0.4	0.398	0.399							
